RGIId,Loibl_ELA,Loibl_THAR,Loibl_AAR,Loibl_AABR
RGI60-13.00419,5735.668472534289,0.2926511470507285,0.8470403260898133,5.8041657584631725
RGI60-13.00420,5766.741360765005,0.3085025314757575,0.805536626562212,4.357173862271802
RGI60-13.00424,5662.234585100272,0.3559588425374795,0.8402626183743972,5.474160752135668
RGI60-13.00426,5760.076975185015,0.3351305208843067,0.7878386135576632,3.888135475518669
RGI60-13.00430,5716.372073188472,0.3473200230852677,0.8419126690359247,5.656036259287863
RGI60-13.00432,5808.547431493972,0.2363753612666875,0.8759952791119081,7.245395520284967
RGI60-13.00435,5903.859729730289,0.2548937486533217,0.8306468611750832,5.066608925937384
RGI60-13.00439,5769.776067475013,0.1573432069925448,0.9118290106704368,10.792342711452738
RGI60-13.00440,5745.450440801499,0.2164068180850048,0.8886264174470561,8.324820379127377
RGI60-13.00441,5858.313411784369,0.2927283115531254,0.8796038780489048,7.620204988671072
RGI60-13.00444,5873.5223196311445,0.3329581943096322,0.8461320496156152,5.714315358221118
RGI60-13.00447,5930.651458120412,0.2594738354548128,0.8649088215999468,6.677866245785843
RGI60-13.00448,6019.731924870733,0.1997030190369928,0.8965415156936647,8.758564388403695
RGI60-13.00450,5856.963488477463,0.4148845624322028,0.7328825213512578,2.8458317904717667
RGI60-13.00454,5805.331554870849,0.3477519389283105,0.8129447632022038,4.575310459847476
RGI60-13.00455,5841.797172414619,0.2083210145677792,0.8779767031540898,7.423806391587624
RGI60-13.00456,5740.355088888683,0.2203714736210511,0.8837209299093344,7.975769278114108
RGI60-13.00458,5918.348024302291,0.2981846132115178,0.8720352885281287,7.060232577535999
RGI60-13.00459,5842.565158000045,0.3713656115628055,0.786771216337845,3.883528486836752
RGI60-13.00460,5907.933687292074,0.2994015728864949,0.8240673471790377,4.775165366902102
RGI60-13.00462,5917.020035870929,0.3724319202918913,0.7108301016151745,2.541036399226081
RGI60-13.00465,5776.220478195206,0.2800635039434581,0.9092116959491277,10.395267335727452
RGI60-13.00468,5746.736473949941,0.2882393618400807,0.9248691942447634,12.995843337335792
RGI60-13.00470,5650.570384214018,0.3599120711912915,0.8249497541357789,4.885619399186029
RGI60-13.00471,5788.075892887,0.3559491648033949,0.7925847498292218,3.975908597267809
RGI60-13.00473,5885.088354521597,0.4516193892439447,0.6778019124068418,2.1823167700672794
RGI60-13.00474,5873.995082187438,0.2867674000549417,0.8580843206786762,6.313805820379825
RGI60-13.00477,6011.709831378765,0.4293233074187948,0.5483652072540922,1.2530828069995203
RGI60-13.00478,5891.228613736423,0.3558647171473999,0.6966464326549189,2.3842942098093207
RGI60-13.00480,5832.324150216459,0.3204690384091389,0.7780656573255788,3.6685304771551897
RGI60-13.00495,5824.207133737739,0.4688186869812195,0.7526423324498719,3.166094649013438
RGI60-13.00498,5822.191061473143,0.4252244062304594,0.7223115710081365,2.670805584202215
RGI60-13.00537,5791.385469960344,0.296939871276875,0.7709628788020442,3.512805602128364
RGI60-13.00543,5829.445382432162,0.5009920301662593,0.8105077724405733,4.389696815794806
RGI60-13.00545,5807.700211968956,0.4203984487824042,0.8074576695055011,4.313018338782586
