RGIId,n,slope,intercept,r_value,p_value,mad_err,AAR_mean
RGI60-14.07510,16.0,0.026714593364290305,0.6949573181191748,0.12371043714755149,0.6480580435186969,0.05727027063613905,0.695045669822302
RGI60-14.07514,18.0,-0.018765054439125035,0.8290923447388282,-0.1468128424371317,0.5610234526666191,0.031607796381278405,0.8334766727210217
RGI60-14.07515,18.0,-0.030060220792819104,0.8556877588593726,-0.32751719666703405,0.18459870192614658,0.021679972956932095,0.8628068229930859
RGI60-14.07519,17.0,-0.029724740083458327,0.6664747718734916,-0.11129734042004748,0.6706452684805206,0.06853004661007286,0.6638908402929464
RGI60-14.07523,18.0,-0.03471544962164117,0.614837390654011,-0.13851043693503154,0.5836125296902372,0.062054577369007255,0.6171015118473877
RGI60-14.07559,11.0,-0.0908363009448027,0.345915521824729,-0.21780450406013646,0.5199890782990039,0.13568060539979374,0.33536526727878696
RGI60-14.07560,16.0,0.009463695146397494,0.5892819632017271,0.03051024682839641,0.9106914732406999,0.08286073320141282,0.5902295641765976
RGI60-14.07561,8.0,0.004621903353598568,0.6482856241128732,0.016639983125862574,0.9688057904467617,0.11337889477845853,0.6470873801725049
RGI60-14.07563,11.0,-0.03771827960475184,0.8756577213511454,-0.2742424595376821,0.4144540970588314,0.04408773018687159,0.878495505952143
RGI60-14.07564,12.0,-0.008630472963883366,0.8859547831054352,-0.03626471620724926,0.91091110685873,0.0752080881118514,0.8882109377242079
RGI60-14.07566,16.0,0.03969077981552554,0.5566631621795451,0.12935309531844272,0.6330378135865926,0.08131762609262617,0.5575010081025349
RGI60-14.07567,15.0,-0.03173034872322544,0.5544044635515657,-0.07222754396125898,0.7981044726681641,0.12152469474454962,0.5484001911975273
RGI60-14.07572,16.0,0.1324849024157963,0.7119752591825184,0.25602356741406873,0.3385141189152293,0.13369061188107506,0.7243374849320334
RGI60-14.07575,16.0,-0.0023407277224061916,0.6794377434085983,-0.008370529766893987,0.9754558800628639,0.07473408482274145,0.6792028753201276
RGI60-14.07578,13.0,0.06523123452419924,0.708686148620017,0.15509420885420785,0.6129027558853107,0.12527849287951223,0.7116992990028663
RGI60-14.07579,15.0,-0.03546177077592269,0.7734188693038639,-0.09204253695635917,0.7442378770261817,0.10640271029189884,0.7812093993406005
RGI60-14.07580,16.0,-0.0037621930923140193,0.55536345999396,-0.006218231761022228,0.9817657167974319,0.1616969256388007,0.555521012263861
RGI60-14.07581,14.0,0.05821904167077648,0.6871162347873312,0.19350638780695206,0.5074329349431296,0.08521027426142168,0.6864549912945369
RGI60-14.07584,14.0,0.04163665733402474,0.2532653872117914,0.08494442417629941,0.772794296237097,0.14098660039651958,0.2579111072850964
RGI60-14.07585,17.0,-0.005179407322973421,0.6142273520826087,-0.024129936617683753,0.9267578202410002,0.0554053603948336,0.6148932964824865
RGI60-14.07592,11.0,-0.13893358538884584,0.7116692333855936,-0.3143371604425141,0.3464876577095274,0.13986175162297598,0.720147602853901
RGI60-14.07594,17.0,0.08159924035257432,0.523577575456417,0.175000399387429,0.5017115959139378,0.11853519612537633,0.5326468423964025
RGI60-14.07598,10.0,0.024404471347130426,0.685319010688244,0.08726338171021679,0.8105583206916536,0.09849915157092275,0.683958153191442
RGI60-14.07603,16.0,-0.003155009872382109,0.6643207660617321,-0.026059850370435723,0.9236801301304028,0.03234575321352176,0.6644635630592877
RGI60-14.07606,17.0,0.041827879314862655,0.5556069339330159,0.09618717257678824,0.7134437258590942,0.11175955559979328,0.5507604649072194
RGI60-14.07613,15.0,-0.039882242362487455,0.460977285728228,-0.08483868716024649,0.7637078997823642,0.12991083116066574,0.4596747533631235
RGI60-14.07614,17.0,-0.008066580974512164,0.6338413390333317,-0.03510884586544189,0.8935831801791896,0.059287001708797436,0.6357264931253467
RGI60-14.07618,15.0,-0.05425846866450776,0.5092059399698172,-0.18530041507488335,0.5085043160485996,0.07980542779868405,0.5050446147712001
RGI60-14.07620,15.0,-0.010046056863107191,0.7013909300879381,-0.018789199959952,0.9470098263090401,0.1482651200808013,0.7026410525115819
RGI60-14.07623,12.0,-0.02446920547572615,0.5970267689908599,-0.07097041028013984,0.8265138794394018,0.10875420580109971,0.6030654833296352
RGI60-14.07625,11.0,-0.022729692735453742,0.7718570149534996,-0.14019559372189505,0.6809703917663626,0.053509076834198074,0.7755055560622559
RGI60-14.07631,12.0,-0.12588272488956687,0.5225249171737467,-0.20548329663696943,0.5217269620287422,0.18959274961410857,0.5385023077251837
RGI60-14.07633,16.0,-0.052953019795599146,0.6804193760737047,-0.20331948091591195,0.4500996596819863,0.06815226510491654,0.6858757964194323
RGI60-14.07634,17.0,-0.06968559292797102,0.6606557043982227,-0.1104700049266081,0.672965390889545,0.16187758304667638,0.6580502202355334
RGI60-14.07636,18.0,0.011133774151941818,0.8278782654364402,0.07813799043739486,0.7579429485921041,0.035513241280085796,0.8282751709803073
RGI60-14.07639,15.0,-0.005900028583982898,0.6984878803701174,-0.023746296632793252,0.9330554652201635,0.06889125080533497,0.698669862802884
RGI60-14.07643,15.0,0.063018060381607,0.5661149357879414,0.17563459544546622,0.531239819196159,0.09796689618727893,0.5727196105255341
RGI60-14.07646,16.0,-0.02385165403683942,0.592722388478409,-0.12998205550825942,0.6313717428997301,0.04862627048333109,0.59327310112174
RGI60-14.07652,11.0,-0.07250547845898327,0.7857543371984486,-0.31103528742902,0.3518504086855866,0.07384916426026285,0.7943502510972131
RGI60-14.07653,17.0,0.04150701642416288,0.6506768654649446,0.07080056644046312,0.7871438924879021,0.15098990761317022,0.6524349644718541
RGI60-14.07655,15.0,0.0010649521787909964,0.4688328091883441,0.0020073730687191135,0.9943350903893091,0.1471395630350353,0.46860213889706237
RGI60-14.07656,16.0,-0.07169891763907157,0.580508084236151,-0.22296977102954718,0.4065060056047465,0.08377788889218103,0.5709587955081759
RGI60-14.07658,15.0,-0.06707438916875967,0.6089789606748318,-0.13812732411766346,0.6234838661877875,0.13338974210723945,0.6063190721564317
RGI60-14.07659,12.0,-0.05104521882946188,0.7666180588043124,-0.23044274865942407,0.4711776960916916,0.06816213674401145,0.7750012243855421
RGI60-14.07660,15.0,0.018003587134234295,0.6813213088472391,0.039854083930214466,0.8878557143481536,0.12518991891726114,0.6792942283685777
RGI60-14.07661,17.0,0.056798147145816234,0.7639395391564863,0.21324882546928742,0.41119528897084623,0.067188590567657,0.7587243495347389
