glacier_type,area_category,slope_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
1,2,0,15738,0.5384227652343228,0.06203974896672432,0.00012763252044009738,16362,0.4976384267887236,0.1031347640422771,9.753009078728896e-05,14301,1.3168028857283909,0.3496899027834143,0.0007043217377096796
1,2,1,8733,0.5378168654642891,0.061621192339622405,0.00016639075219671684,9159,0.480813838790523,0.09580618529044395,0.0001341515943575826,8295,1.3211061725324431,0.3377230121035056,0.000998164179560909
1,2,2,3431,0.5478333401954222,0.0635818758477569,0.0003018312732450879,3645,0.4759426141234488,0.09254344204688114,0.0002701733491447314,3180,1.3592843596404334,0.33661217971769763,0.001850499319377681
2,2,0,1834,0.589721393932998,0.058052044581609015,0.0005785357056826562,2170,0.550395263089101,0.11327087067255726,0.0005098350052358119,1415,1.5479767421144668,0.33048960560942214,0.0043907295675516475
2,2,1,543,0.5956257228000466,0.05664088525253248,0.0012383969912433165,701,0.4983828918509033,0.09774182247003352,0.0010661263152712285,429,1.5713633656648012,0.31652804226789577,0.009480951292818805
2,2,2,271,0.6061492993958952,0.055422180264803216,0.002053099933943588,317,0.47386879235529267,0.09248164206575782,0.001649790800513729,209,1.6345258259818805,0.30408148750665714,0.0154932424839246
3,2,0,1748,0.5811009569317445,0.061693068206642165,0.00046951950270393604,2065,0.565073624995804,0.11296788479177745,0.0004223721774455995,1243,1.5376074584017523,0.34222788350787536,0.0034789385022514206
3,2,1,385,0.5627037251478084,0.0665896219408851,0.0010255867347108614,430,0.49663515839245803,0.10081266871087848,0.0009122233066444173,322,1.451389957605775,0.37130885575296285,0.0073428537896251065
3,2,2,220,0.5600096505702871,0.0690801116636984,0.0015426849609610754,256,0.44007646425171004,0.09479362251269781,0.0012566825408762109,191,1.4329802318868494,0.35864434689164143,0.010919991604757675
4,0,0,62,0.583717723734256,0.08140452232357516,0.0012947533842376615,85,0.4355826218514652,0.14634691804747052,0.0020966694729388407,29,1.5187848402774722,0.33860187234800015,0.02944707975196903
4,0,1,8,0.5381513245923113,0.0619952348414948,0.007934028432306048,10,0.4995577758564648,0.15017327397205596,0.005405447874634506,5,1.8395090830857044,0.19571888485829453,0.0
4,0,2,16,0.5333548239842131,0.07234013119554297,0.0014949688873457725,18,0.4538068690727965,0.13739558155258805,0.0,8,1.6010134869667885,0.23870440438624194,0.0
4,1,0,56,0.6035499547626753,0.06974089279864193,0.002956853860311241,79,0.3792720427723179,0.12570839153216526,0.002383013442260622,12,1.7655640128934265,0.24173814912820693,0.0
4,1,1,21,0.5812448529322947,0.06973875935853163,0.004151774067406862,19,0.5085307169105335,0.13917263224887316,0.004230248616786819,6,1.832200801649613,0.32872196065066506,0.0
4,1,2,49,0.548867157630481,0.061180761205667136,0.0032480118683476376,44,0.42774529719746074,0.11093893273000711,0.002053668674577071,11,1.8010172704543743,0.2738159445542641,0.045312452707897674
4,2,0,439,0.5894749445304591,0.07225340178942569,0.0013020179379177178,558,0.39808643726687115,0.12117576096171619,0.001019503692704237,51,1.715165607754985,0.3388542111778841,0.024458567120371373
4,2,1,100,0.5909198107776796,0.06296979787363981,0.002052187373497906,113,0.4350927655604003,0.1307754964064281,0.0017300548296109392,10,1.8927066392033969,0.20208661985821766,0.04126434891464004
4,2,2,49,0.5845962024525244,0.06512824080916209,0.0030174473545421287,54,0.4285205417204363,0.10469282362334499,0.002504034478224687,7,1.7752425337234032,0.46035097495720967,0.03757874402694653
5,1,1,1,0.5784580778468004,,0.0,2,0.4034273181658967,0.2426198076553194,0.0,1,1.611177271017234,,0.0
5,1,2,7,0.5643180068133672,0.06319383744491218,0.011948863597577996,6,0.3939072983796894,0.05052144263084323,0.014156600571776388,1,1.732296646631476,,0.44548712763295106
5,2,0,271,0.6052502484608188,0.05328986675798056,0.0012651260111694498,383,0.4443962316635419,0.12337329448121641,0.001092502117341401,31,1.9111486928348973,0.2189580802855767,0.02352513672252831
5,2,1,59,0.5996498443319689,0.06432741367557081,0.003180551902946078,72,0.48913654259790434,0.10635619121685683,0.00221685383110945,7,1.9315878207505695,0.21742283529175233,0.05530717433782966
6,2,0,285,0.6057479001604396,0.06544666968625973,0.0017602897905719765,435,0.45103996131143437,0.15198208481000985,0.0012625422175362511,27,1.8884243227855029,0.25628129513803655,0.04334723133783724
6,2,1,30,0.618446172721499,0.067835873487047,0.0037750731745199192,41,0.45796341895655396,0.12972479125639277,0.003625066832413718,4,1.6520982194124239,0.5037870367124608,0.11114134814059257
6,2,2,19,0.6158786906578426,0.06126278277860537,0.010950259699654035,19,0.3930183717651596,0.08094980199187854,0.00655968745324265,2,2.1316423009325076,0.07761197852903222,0.4006645659344652
7,2,0,93,0.6180407077533057,0.06076935456338613,0.002032546677155963,218,0.4998673774398039,0.14307590861081945,0.0016735292004577621,12,1.8716698757642123,0.27585092940815137,0.045004762670824434
7,2,2,3,0.5771003155214012,0.07802171021974186,0.0,3,0.45496572072625313,0.11453848702933431,0.0,1,1.828260854879032,,0.0
