glacier_type,precipitation_category,aspect_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
2,2,1,29,0.561869533977925,0.06293538723197675,0.0,30,0.5711545230065643,0.09546815006480823,0.0,24,1.4827856433842832,0.3651114894441278,0.0
2,2,2,145,0.5794816216052425,0.05472906854136033,0.00048559342537699864,146,0.5380424068922525,0.09214551714526373,0.00023682062423060031,84,1.5899344048864021,0.2746953650634604,0.003914533196019631
2,2,3,105,0.5680228674851988,0.05161256347317056,0.0008855291664555813,108,0.5375228268906104,0.09198302794928263,0.000957219178430878,77,1.617199825937646,0.31147792623628673,0.008561787835326597
3,0,0,682,0.5903798937012841,0.059779866350070814,0.0008826980409112829,855,0.5709240614732284,0.1177899312962408,0.0007429918977275532,497,1.5993031328752167,0.33192652549184665,0.006729634354928068
3,0,1,729,0.5880345404687948,0.06068379885793028,0.0008689595132342051,880,0.5526837573669234,0.11814630461253706,0.0007636357570524872,505,1.563537549732952,0.33448959906793746,0.006863097332928399
3,0,2,1,0.5716731480830226,,0.03928018623939067,1,0.293819490576487,,0.017736566474220283,1,1.4387460257096472,,0.23371622460236074
3,0,3,2,0.6574388882701943,0.022802666690912462,0.024466249719518163,4,0.44874065810312935,0.16512687330327525,0.013785989609191087,2,1.9977357765526218,0.19995078968771568,0.17602392292845948
3,1,0,180,0.5554606055583203,0.06379159519292041,0.001318253737786362,204,0.49766396128908463,0.11394853520028989,0.001087699135591358,151,1.3350263412993502,0.32408821362542356,0.007208281685642135
3,1,1,212,0.566981476062478,0.06253513170493076,0.0012504736132253717,225,0.49748180795190045,0.11888083952877115,0.0010917274987112461,174,1.447220706131548,0.38271875796112786,0.009203323801864081
3,1,2,3,0.6265582686280847,0.11049163508784911,0.009744569722495796,4,0.35836753955367906,0.044316709015045704,0.015341818518429638,1,1.2666809571381652,,0.0656137960589167
3,1,3,2,0.6125642330353662,0.08361255815089995,0.01955297236303305,1,0.3278230197866719,,0.0,1,1.3609738695670757,,0.0
3,2,0,120,0.5464647717621615,0.061147960333327714,0.0006552300799532407,133,0.5324949232501025,0.10100565190843575,0.0006291777552228483,107,1.38515275114428,0.3601039999032479,0.004106902193115919
3,2,1,117,0.5466515462796311,0.05861592528317963,0.0011700836593193159,119,0.5241360738290586,0.09367671410038636,0.0008818481312758687,99,1.330557366163083,0.2931075190695204,0.006805076095345428
3,2,2,162,0.5571451846363729,0.06648116495653247,0.0006934864041898792,179,0.5123521524020016,0.09851743601303806,0.0008578320494616137,113,1.49503535226413,0.3635704610323956,0.005151556846590551
3,2,3,143,0.5547230976114801,0.06610157567329318,0.0007177771522598505,146,0.523123058082235,0.09537118796971512,0.0004679917292421064,105,1.5000949575396307,0.3401217261677118,0.006892395783165617
4,0,0,38,0.6209136391860707,0.0658383860783924,0.0038534370884678996,76,0.40460020312452943,0.12823306378509877,0.003046557986466273,7,1.6889970666670477,0.1565105323645833,0.060670324643278394
