glacier_type,temperature_category,slope_category,aspect_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
0,1,1,1,12371,0.5320438155781692,0.052141396942258215,0.00010596400230861401,12469,0.5015980718231462,0.09710217169495167,8.6683486288497e-05,12266,1.2095765309587154,0.26774040780586106,0.0006070662684066745
0,1,1,2,23,0.5432670905970614,0.05504076100701031,0.0033415661252573178,24,0.4745294632920843,0.1337243222696717,0.0024724989173701794,23,1.3477680546531168,0.35749647491463143,0.019836545748413162
0,1,1,3,12,0.551341241387359,0.05141104015331204,0.0,13,0.5037320996553223,0.12419185415061432,0.0,11,1.3862534440046441,0.23715581205351574,0.0
0,1,2,0,3802,0.5576089671308581,0.059352857145399125,0.00022843045290970245,3957,0.5311829735900692,0.10382433918366207,0.0002357536138849822,3688,1.3388992615244661,0.3144098133809556,0.0014588693095605807
0,1,2,1,16707,0.5470334429399102,0.05271985891528905,8.913052123658683e-05,16831,0.5305961593306575,0.09582614522707861,8.326845867715317e-05,16501,1.2846373118446826,0.2749193547504782,0.0005510984887812364
0,1,2,2,15,0.567443257323336,0.060791643306220604,0.0021853648735527197,14,0.47322891579840404,0.060117160559621456,0.0,14,1.343967731514412,0.29175318234326475,0.0
0,1,2,3,9,0.5042296394554213,0.08328220925107667,0.0,10,0.5191705860106304,0.09965389842920987,0.0,9,1.244781751434171,0.3529037875672882,0.0
0,2,0,0,6304,0.533092806915889,0.055619651989982824,0.0001032525818691091,6410,0.5101269993219367,0.11350753862754348,8.175706948289849e-05,6272,1.2241782445112257,0.2897680583250784,0.0005437391533328409
0,2,0,1,12095,0.5292026189093246,0.05410652053473017,8.008947217440347e-05,12257,0.502435426171833,0.10816709208305199,6.0394679387450836e-05,12033,1.205183628676078,0.2811164573131642,0.0003917288860193404
0,2,0,2,1840,0.5364201825313883,0.06557376292954892,0.00020293475733229631,1929,0.5335872935514815,0.12230184742693101,0.0001799758977916268,1829,1.2390949313129676,0.3411087388070312,0.0011793691830400523
0,2,0,3,1132,0.5414145587085839,0.06755780772163926,0.0003214773390955237,1174,0.5299340258720768,0.12341698983111436,0.0002561093933755241,1095,1.278826851655485,0.354806175242736,0.0019262601176056567
0,2,1,0,6944,0.531017109256593,0.05090015885084613,6.69105670661217e-05,6996,0.5222063111192347,0.09692259079441139,6.048775489260713e-05,6903,1.2304129956651497,0.2667779356230138,0.0003662140714449447
0,2,1,1,19472,0.5241647241089533,0.05042627839794991,4.4010244496924504e-05,19677,0.5065391060776132,0.09608965246332436,3.664710636128921e-05,19466,1.1885977926951785,0.2631506453428994,0.00022378337567105706
0,2,1,2,3255,0.538060757770354,0.057514538182033066,0.00010858913805672114,3274,0.552632531882799,0.10567648011819232,8.654045777783163e-05,3202,1.269985690950233,0.3061493817233116,0.0006637146444277745
0,2,1,3,1450,0.5374998878701718,0.05882865241731197,0.00012221123859538526,1465,0.5432884184993245,0.10739328919699477,0.00010782436041250918,1423,1.2749700954843954,0.3083623660253425,0.0007468924404539507
0,2,2,0,5700,0.5346181652818572,0.05412888602262581,0.00010590419812214618,5778,0.5301849825563033,0.09415145557399816,0.00011202435839584539,5657,1.2462783549942826,0.28362474582459607,0.00064123111394374
0,2,2,1,19413,0.5297018225390656,0.05354401935201838,4.324704357343183e-05,19601,0.5232731113664723,0.09643698890388717,4.17334159239501e-05,19374,1.2176311827720998,0.27345058677860395,0.0002560380530196725
0,2,2,2,4530,0.5371698555680796,0.057922053879069846,0.0001032971084541146,4577,0.5433063405678005,0.09888561643684465,8.69615743685067e-05,4483,1.2667018584633152,0.30496411294170134,0.0006286775945562077
