glacier_type,temperature_category,precipitation_category,aspect_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
0,2,1,3,344,0.5337452322728772,0.0692172190685164,0.0006432965967997835,360,0.5007937800066323,0.12034950014590266,0.0004794486295127071,317,1.3044250789936436,0.3761301566881262,0.004200031034753561
0,2,2,0,11754,0.531421095754728,0.051982850301857335,4.471266339445233e-05,11836,0.523630607488523,0.10102547887503566,4.173753623014365e-05,11657,1.2386268713609172,0.2755925817923913,0.00022591241990470838
0,2,2,1,22724,0.5274306054790882,0.05113650125630831,3.1538933294148306e-05,22867,0.5165095708671704,0.09902377888981552,2.6503816327783006e-05,22604,1.2233837403618713,0.272661297336123,0.00014944386869909494
0,2,2,2,8364,0.5357707855219923,0.0586319389128288,7.136523857769677e-05,8465,0.5501057382192822,0.10489826663957921,5.611848273614974e-05,8293,1.2593534773178083,0.3100531842751369,0.0004212884609270483
0,2,2,3,4001,0.5382935595827368,0.06100818307725654,0.00011250656171300808,4069,0.5401019423501924,0.10801841332657834,9.387379804127484e-05,3942,1.2734784620329866,0.32460257199995957,0.0006844508271869378
1,0,0,0,1731,0.5681139516016684,0.06439544183731351,0.0005898981551703061,1907,0.5254903167448542,0.1133878673365625,0.0005148996658828013,1420,1.4502875886146467,0.34700473452545083,0.0039604157032454
1,0,0,1,3501,0.561681295332619,0.06543841316976007,0.00039936965464191,3828,0.5111839848661379,0.11808069724816812,0.0003318740992529498,2980,1.4530547012263997,0.34702013681317867,0.0026042701439463406
1,0,1,0,314,0.5604826688780462,0.06568258996793554,0.0013838461805212607,362,0.4530307649889034,0.11734782739958964,0.0011458465668824193,277,1.39406252922329,0.3515207226509765,0.008604299200328135
1,0,1,1,366,0.5598331587774178,0.07127760096046944,0.0012754313942838903,405,0.45163064308333156,0.09739815961749562,0.000961401436351115,313,1.3850355486939567,0.35869924544086174,0.008257774942419365
1,0,2,1,3,0.5813358356881432,0.09051557233250665,0.00920832723709449,2,0.3517447153416607,0.15946726344333384,0.003405348312028142,2,1.28000144571984,0.42216598000148386,0.0
1,1,0,0,933,0.5449543135134464,0.06482086270295032,0.0006418330318133776,985,0.4866852857525347,0.10821551785497104,0.000517557087822036,847,1.3030241941282827,0.35333538261655323,0.003699616471806788
1,1,0,1,3442,0.5277844198861579,0.06069625256803102,0.00031756049053138704,3569,0.4692728959278522,0.09711888916861625,0.00023433680779440377,3310,1.2237153033471477,0.3355851864871134,0.0017937227667391778
1,1,0,2,55,0.5299801626746882,0.05761429016602,0.0009576020330814527,56,0.4354973895683091,0.0971019250445575,0.0008668775502357085,54,1.1604661317864642,0.2661881666196943,0.005373397861163231
1,1,0,3,22,0.5296439403172698,0.06950020700804334,0.004938819772530768,25,0.45246011821595855,0.11854156081929666,0.0051411278241679835,22,1.184160263735452,0.328124460628648,0.028273592637036462
1,1,1,0,2512,0.5328180734190321,0.061008328693319985,0.0002805156398685572,2605,0.4891509554540184,0.09955982239416133,0.00024556159118092034,2410,1.2523119765041686,0.34508215857771984,0.0014730381851071734
1,1,1,1,4538,0.5211850211670852,0.05962747849617779,0.00020572245944680756,4643,0.47806351407826514,0.09429627879040693,0.00015313623590245358,4393,1.1910977268058929,0.31861234850776426,0.0010200040147143397
1,1,1,2,2,0.594069735359978,0.0031093836350295544,0.018336657037172858,2,0.39432303033076294,0.024134465547109674,0.01071137215837528,2,1.5393997137016022,0.022075654887642075,0.11781742747285863
1,1,1,3,2,0.4942214684131896,0.0748634268448096,0.01144940032888861,2,0.3621500513725226,0.12409380651084775,0.007677100494134448,2,1.1162702300010476,0.22052454291042295,0.04480375027277467
