glacier_type,slope_category,aspect_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
1,2,3,742,0.5328641352015563,0.06386645029047269,0.00030582841914712853,764,0.517590056703469,0.10220514967213466,0.0002950561674339594,713,1.2667700033979747,0.3177892577143672,0.0018986850165020712
2,0,0,734,0.5928924259523033,0.05651954076083749,0.0009521597396608584,864,0.5584048623145434,0.10837278289909355,0.0008228873879477361,597,1.5579595957519914,0.3176786774789731,0.0069379105194746
2,0,1,977,0.5901092445864845,0.05869570198813334,0.0008041403536472523,1179,0.5486420346742108,0.11668594920700438,0.0007105057692054792,750,1.5380599365080194,0.340082218041224,0.006098282595748126
2,0,2,69,0.5700998047526181,0.06207829691187931,0.001389611552573157,70,0.5057675529267643,0.10753340372554981,0.0009270134890210042,33,1.4949695732457198,0.3346774278071555,0.009133225227832905
2,0,3,54,0.5646736543555877,0.05198317579578353,0.0019353167444583817,57,0.5200567066283432,0.10396255141266936,0.0019675993433918315,35,1.6401789465688048,0.32356497760010305,0.018835933237718514
2,1,0,162,0.6081931496852803,0.05036735616707644,0.0026373086892756367,233,0.4986471938048518,0.09253524996339046,0.00205771676466535,134,1.6096656887457255,0.2853828973748683,0.018889395397308134
2,1,1,282,0.5953147908359747,0.05919151899687704,0.0018326577214871453,369,0.4873755196220963,0.10114544590007613,0.0015489731350332697,235,1.5451108912956466,0.3368335836633732,0.013507010306444913
2,1,2,61,0.575785494317129,0.05293105386972855,0.0008292783112694849,61,0.5277435003955809,0.09041484313962521,0.0007285259577818409,35,1.5744008816023574,0.27759909425505475,0.00706119078538595
2,1,3,38,0.5762050279557925,0.055464079187382775,0.0,38,0.5565181780597056,0.07708266107520624,0.0,25,1.6085836507085178,0.32189905356590715,0.0
2,2,0,71,0.6180803067601046,0.049764378670615936,0.004516182091207866,89,0.4720388421431749,0.09208804746983706,0.0034268328570529125,59,1.6746355914886588,0.28099160063772594,0.032456729073778466
2,2,1,145,0.6095982837449111,0.058327022355890185,0.003135877980326831,173,0.4477930059778372,0.07925037942132791,0.0024557575915350616,111,1.6115916934101497,0.3238581486477485,0.023452526866697916
2,2,2,33,0.5936508400508469,0.04559270545782653,0.0,33,0.5695552652490322,0.07290398577813448,0.0,21,1.673425264654445,0.2773573514524308,0.00968679615597632
2,2,3,22,0.5636604314377324,0.04518050583082952,0.0,22,0.5427925653864226,0.09297016976808326,0.0,18,1.599099400339565,0.28387117135672457,0.0
3,0,0,803,0.5827633178265932,0.06060190926210185,0.0007016868612277862,964,0.5750280076845999,0.11072326597128783,0.0006107373341350675,592,1.5497436068116535,0.34566855745058245,0.005135335646442698
3,0,1,808,0.5828069629375159,0.06062853584523356,0.000715969598367222,946,0.5643941718749084,0.11285479266625877,0.000657235302221578,561,1.5317991456838784,0.3356553382913459,0.005254387182756958
3,0,2,75,0.5578835683531645,0.07422067560793894,0.0013919645980391962,90,0.5031845498155179,0.11016108689524898,0.0016880632101127135,50,1.443373793475911,0.3500497474152385,0.009893053032167577
3,0,3,62,0.5654231422892712,0.06646275142923098,0.0016555182705348165,65,0.5130236943280211,0.11191885704259787,0.0010268644813942406,40,1.5572461289607,0.364600238066284,0.018092538930809747
3,1,0,120,0.5610611687820205,0.06726771856162402,0.002040148302558194,144,0.4906720394958835,0.10920274018661766,0.0017368085547973583,111,1.4108261081479325,0.3602523182388201,0.012755437985711625
3,1,1,136,0.5715019888273632,0.06625813856729293,0.002204337144145904,154,0.4817801121273441,0.09736676077582736,0.00190169877365662,116,1.46604560487009,0.3934282340695235,0.01580976334278714
3,1,2,66,0.5533703615994917,0.062070379203080284,0.0007064335514772533,69,0.5119422259136125,0.09316544144817832,0.0009462252900338496,48,1.4881403063685505,0.37249498870371583,0.006538299142937926
3,1,3,63,0.5566171362218405,0.06981823589407034,0.0009942723871308563,63,0.529812596280944,0.08884320550433993,0.0005687575763277321,47,1.473486031362089,0.3414578534479531,0.007490379699083382
3,2,0,59,0.5578217736887441,0.07897575788005386,0.0036929743631064606,84,0.4226377661843523,0.09942719040374969,0.002678253909417224,52,1.3577704944366031,0.35083274529831776,0.022072750679479152
3,2,1,114,0.5631858535761348,0.06719499961702603,0.0022495463063644805,124,0.4238409854552734,0.08088891547459948,0.0018140639191118997,101,1.4230438993919707,0.36500165817439645,0.017086573414507505
3,2,2,25,0.5738062549202352,0.059395650418484575,0.001764646604020232,25,0.5131080742925448,0.09088288380342821,0.0007094626589688114,17,1.649705729953441,0.3346520287061854,0.013748013211903573
3,2,3,22,0.5337406725973642,0.056514219630120634,0.0,23,0.5119138450080287,0.08463281813564115,0.0019299842734693516,21,1.4915584443755894,0.30598040272850924,0.0
4,0,0,62,0.6115745581678668,0.06693256871232306,0.0025838956362132983,111,0.41389729547349197,0.12834022669450046,0.0022221096570408,7,1.5681472780488075,0.3160141710498866,0.062293214742016136
4,0,1,120,0.6016789361964776,0.07360818654509096,0.0018743109063672605,182,0.4372053677324641,0.12956670467896114,0.0017644968157162193,20,1.6405995530424433,0.448203420728467,0.016497411220056657
4,0,2,138,0.5831035422132305,0.07329231303183291,0.002206528974203854,151,0.3717232567765531,0.11606539072736125,0.0017335620360106275,25,1.6958561865622992,0.2842425423715015,0.037856432664532286
4,0,3,237,0.5830439376020858,0.07289302134740745,0.00184692204424674,278,0.38660092709775606,0.12075198877015911,0.0014313641551637552,40,1.662988696175601,0.3205455331400212,0.02610710920139599
4,1,0,17,0.6007335442533024,0.05812936339694543,0.0030579393058456084,16,0.4342177716955339,0.10362006894165053,0.0038215146533715043,1,1.3621934884228422,,0.0
4,1,1,59,0.5951561573363056,0.05702510731336598,0.0021234516590211035,71,0.48646645878658856,0.12430979881225365,0.002025350477915212,8,1.9547430716540177,0.23079353833536792,0.0
4,1,2,24,0.5617960388468349,0.06780589963886516,0.005840145953309665,24,0.3921298646551941,0.1420204623864616,0.003843680348105588,4,1.8489868865556947,0.23959095015769538,0.0
4,1,3,29,0.5790877627107738,0.07686701992915347,0.004320792089501782,31,0.41694916824158157,0.14860642933401982,0.003907617807147466,8,1.8402163761853005,0.1732833785700837,0.051580436143300046
4,2,0,8,0.5581388627743209,0.06682079454251078,0.010820462992355263,9,0.4409650822587284,0.11833688303404763,0.0043125319433488145,1,1.7842627583304338,,0.0
4,2,1,56,0.5571821395537422,0.06635356427205645,0.0013991541990913921,62,0.4321366225026603,0.10952937945812123,0.0016850700588167615,13,1.8028803688608466,0.30969546971379625,0.0
4,2,2,23,0.5591439947894018,0.06367412725532239,0.006190353848027034,21,0.40564483967688797,0.11247020540885519,0.002675783976989935,7,1.5438662668142362,0.3875818896434188,0.0805130691569548
4,2,3,27,0.5757688603871963,0.07312613347851467,0.004360129193385091,24,0.45207200017475113,0.11781741410868037,0.004344188159208767,5,1.8034448371150311,0.23943440750294934,0.0
5,0,0,109,0.6119833844766605,0.05310266335219687,0.0017954941780642035,155,0.4396011424249112,0.12055555202108982,0.0017058746190868517,13,1.9283086718981837,0.1825919887718202,0.024417442600891084
5,0,1,158,0.6001940809937703,0.053495954899520304,0.0017747320594612601,224,0.44726852469897693,0.12760507998912798,0.0014399800707761894,17,1.8840512853354332,0.24564305147594973,0.038621957266903206
5,0,3,3,0.5511411380083795,0.049226468183013905,0.0034629507244109217,3,0.45015678356702465,0.03791911029693693,0.011137368342156099,1,2.14872489250306,,0.0
