glacier_type,area_category,aspect_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
1,2,2,2129,0.542028747196018,0.05746745129105784,0.00023893793433572244,2204,0.5102164586116688,0.09804296355631689,0.00019469786673094886,2037,1.3490290192584184,0.3094327407100773,0.0013755140993922442
1,2,3,958,0.5415807982194245,0.0651511915146686,0.0004020344352041405,1011,0.5019470797538367,0.101364150949864,0.000337996801592561,894,1.3466309371671914,0.332313199511127,0.00247471412178223
2,2,0,967,0.5973051010113479,0.055611323876808685,0.0009096747496179256,1186,0.5401838567850241,0.10857963800732191,0.0007674115378196311,790,1.575443773232528,0.3113394301141409,0.0066053023103398705
2,2,1,1404,0.5931675599143534,0.059016049814377344,0.0007439814081323387,1721,0.5253682252502114,0.1158803614731937,0.0006388742744249208,1096,1.5470188775584108,0.3381879200124922,0.005607482058585658
2,2,2,163,0.5769955791592237,0.056064180176677705,0.0006650863784645909,164,0.5267768657452562,0.09750857507737762,0.00047957057967007384,89,1.5683141273138719,0.30439480170579764,0.004939983457620424
2,2,3,114,0.5683219113083505,0.05182220455552684,0.0009167289842171282,117,0.5361740126716724,0.0946005546549536,0.0009585740390883282,78,1.6205723538940167,0.3108788923804947,0.008452021324617282
3,2,0,982,0.5786127995073653,0.0632290045743614,0.0006637846589250905,1192,0.5540984441735295,0.11871520022425654,0.0005688579660723717,755,1.5160979853610894,0.35378536787217935,0.0046948680532119536
3,2,1,1058,0.5792395877520923,0.062410387612036315,0.0006618321982340302,1224,0.5397608709621963,0.11806899791218924,0.0005908021087827645,778,1.507876664180174,0.35052084456872595,0.00498318655628291
3,2,2,166,0.5584871558136125,0.06743627467363128,0.0007382626909265627,184,0.5078169833084212,0.10114970180584111,0.0009038539462755264,115,1.4925601894669085,0.3610311676012016,0.0054844618795274165
3,2,3,147,0.556907545585393,0.06698288606322514,0.0008179991886948628,151,0.5198592856437451,0.09863523530243379,0.0005814783263742675,108,1.5080223700401254,0.3428692925888424,0.007451728687689528
4,0,0,5,0.5887921921492071,0.07254013911332269,0.0,7,0.5095742759453252,0.16684680259176693,0.0,2,1.7000785138074845,0.11905450034248778,0.0
4,0,1,6,0.5111542180498532,0.06561419403438395,0.0,9,0.5030317535989562,0.16989495887444048,0.00600605319403834,5,1.3027167134583904,0.3057732264084798,0.0
4,0,2,21,0.5629275288361159,0.07588770088467335,0.0019731436712017475,30,0.4445378552511394,0.1275878047310791,0.00197706182348448,11,1.6357335471923562,0.33779459565911485,0.0
4,0,3,54,0.5777226347667812,0.08313768892899222,0.0017885430008680691,67,0.4292266102642905,0.14644542846192518,0.0025083229330372923,24,1.589316836049445,0.3115536709133817,0.035581888033629244
