glacier_type,precipitation_category,slope_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
1,1,1,5434,0.5173704043367395,0.0602233168091046,0.00016437019433526723,5600,0.4791849324943392,0.09672491242664834,0.00012889040332753226,5395,1.1707808193071811,0.3122722572223799,0.0008545298344833851
1,1,2,3188,0.5249674796079461,0.06375405741474338,0.00022736221723874148,3330,0.488468261459408,0.09828278872889765,0.00021721139740867924,3127,1.1960597535683284,0.3281153681109473,0.001248261559257738
1,2,0,7043,0.5327364491933775,0.06016299661158947,0.00011964766035573306,7210,0.5048892133725182,0.10635842681255825,8.86951030634647e-05,6681,1.272564787262281,0.33548193152917516,0.0006151708019444858
1,2,1,7769,0.5294384895479533,0.05705806031979115,8.374048973591086e-05,7882,0.5159531912230548,0.09974234991705093,6.802673366176394e-05,7587,1.266959273212533,0.3166050909432364,0.00045620322069762757
1,2,2,5506,0.5241873755191887,0.05628483936166796,9.961795066077164e-05,5586,0.5150278796963462,0.09443441736836126,8.880377001727185e-05,5435,1.220653443762362,0.29946536134145957,0.0005207755559453056
2,0,0,1537,0.5945916432052434,0.0568177112757445,0.00067704078266249,1861,0.55259370112202,0.11391508878780801,0.0005842142128073541,1198,1.5687449653650465,0.3268013411985132,0.005105213187845015
2,0,1,364,0.6065239632137873,0.052955441737176916,0.0017772343045630273,512,0.49047121254089376,0.09986740220843726,0.0014284295319141782,296,1.6082843775954236,0.3073656972827075,0.013204531855576745
2,0,2,153,0.6247007444383132,0.04926412289688412,0.003442259662098577,193,0.4630206994600888,0.08314963066852386,0.0025512309669711384,113,1.6948862385170027,0.2760197440016576,0.026995732886874978
2,1,0,162,0.5640581397336625,0.05888862420535262,0.0010548501670513454,168,0.5338944984869647,0.11308476317819924,0.0010301187885910727,120,1.3581203171861018,0.3216867528011991,0.006798841288711781
2,1,1,74,0.5687516025248508,0.062259611677105774,0.0023843857393369998,83,0.4897312163065837,0.08280039314640143,0.0018217158246931497,68,1.395287839057558,0.3230077442638467,0.01614557743730112
2,1,2,56,0.5863264180940849,0.0564456018402054,0.003066669288388501,62,0.43540429446159457,0.08445499344405508,0.00274851961056863,51,1.5060595652695286,0.31976868478262455,0.019452226892755605
2,2,0,135,0.5650686091096735,0.056986687457881616,0.0008676338477215139,141,0.5410394848897869,0.10315152580126746,0.0007765778094262055,97,1.526352407446521,0.3129393606474754,0.007492984116961484
2,2,1,105,0.5767850122263594,0.05406278830707891,0.000481771209404177,106,0.5433722208782941,0.08596641855925123,0.0002660255048417177,65,1.5874328468621592,0.2929577760920072,0.0038021796536693575
2,2,2,62,0.578273658450918,0.05159202993196538,0.0008382048552931479,62,0.5461023536163189,0.09073561025121955,0.0007262449994326331,45,1.6285492188676824,0.31378588096055954,0.009822190567705624
3,0,0,1228,0.5891725420717694,0.05959726826549119,0.0006208747368723203,1511,0.5744818451451528,0.11492288379706207,0.0005453498076062102,852,1.583841789627628,0.32955186924208074,0.004738638233362597
3,0,1,122,0.5864619389647752,0.06400501497057998,0.0027668831630694884,149,0.4925425090261275,0.10772844786413713,0.0022844098809529797,102,1.5829520354020947,0.36661476116040154,0.02025168622760814
3,0,2,64,0.5961028158252372,0.06532471802512366,0.004203533490930939,80,0.4394957413284121,0.09087922274170977,0.00315287977691519,51,1.5486279384154045,0.33781648152247845,0.032870850615218855
3,1,0,249,0.5638047786548478,0.05886997750518184,0.0009325392172784389,256,0.5468422794195307,0.10163623446902378,0.0007854296152301344,195,1.3967288992726388,0.34302649159873727,0.005594901582865561
3,1,1,76,0.5597543471206025,0.07168295754772304,0.0025002148240709904,89,0.45994890814819983,0.09795442195671018,0.0020895922691290224,68,1.3755523126299187,0.3815701015190177,0.015488806166950097
3,1,2,72,0.5605425684927098,0.07212346504595633,0.002740813223454546,89,0.3852929406018269,0.08018622289507994,0.0021996199891197075,64,1.4083334783249613,0.38852867511155176,0.01883986695546579
3,2,0,271,0.560417716485238,0.06557796138763805,0.0007226982377738125,298,0.5330313559416436,0.10441977439374653,0.0006818469964151655,196,1.4767894422065024,0.34933492163662916,0.005611093695018625
3,2,1,187,0.5484023916953898,0.061951940948352845,0.0004091674864951117,192,0.5168168304097613,0.09145598352467578,0.00030467698629142715,152,1.3970322465737595,0.348323378266018,0.003043923688442636
