glacier_type,precipitation_category,area_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
1,2,0,3908,0.5239214192273591,0.06315516741518866,0.00012198260395205888,4006,0.523136808188407,0.10962805912588706,0.00011227991746146447,3924,1.1685533318892067,0.3076086634894769,0.0006243301585470074
1,2,1,5760,0.5166182787148759,0.051554282060332135,9.064895313856255e-05,5792,0.5162331140975506,0.10316784909782359,7.678290629640454e-05,5801,1.168057822087174,0.2628900730800193,0.00041573750787072156
1,2,2,10650,0.5378629046795732,0.05792900861763072,9.076130920498129e-05,10880,0.5053521844819846,0.09560943405870725,6.769246363748534e-05,9978,1.3416887268140187,0.33036504332921035,0.000501751988535308
2,0,2,2054,0.5989490224514799,0.05625500674527546,0.0006493166828188143,2566,0.533461080906007,0.1136761137570759,0.0005455099723801296,1607,1.5848978153254463,0.32158028229233193,0.004899358496195043
2,1,2,292,0.5695182076608255,0.05970211890239503,0.0010264093268121117,313,0.5026742266960874,0.1072846509402004,0.0009140444893780956,239,1.40026380312549,0.3254152024941679,0.007070018016865461
2,2,2,302,0.5718531633693066,0.055069334554081334,0.0004561762421176088,309,0.5428555621578346,0.09481636010537928,0.0003938700245117656,207,1.5677489537072395,0.30833252955777235,0.004279408756857857
3,0,2,1414,0.5892523468392155,0.06023424878253312,0.0006196206159855068,1740,0.5612589431985585,0.11861503240473786,0.0005324989581823421,1005,1.5819645146596402,0.33364341036119477,0.0048109543884697886
3,1,2,397,0.5624377460899194,0.06387071180679058,0.0009045823699894281,434,0.49589435039205587,0.11685368412775647,0.0007757136021557547,327,1.39459643801161,0.35949055661209894,0.005924710320390903
3,2,2,542,0.5518762479625651,0.0635939380384063,0.00040456258504038443,577,0.522150813410548,0.09736706570035893,0.000372764414195792,424,1.4301544551181393,0.3478692606832933,0.002897773870841469
4,0,0,14,0.5614416617319508,0.05534605130226572,0.0,16,0.49396121024376255,0.16416054375157768,0.003378404921646566,12,1.5870461041409063,0.28363862938729156,0.0
4,0,1,10,0.5792179035871491,0.07244975946833317,0.012415639075644615,14,0.3855062845620155,0.1952438768462535,0.003987691562268271,5,1.6316312545770555,0.3627392633345761,0.09968739595737489
4,0,2,139,0.610541893878618,0.06905854471288872,0.0021575746565250615,256,0.4208184424968993,0.12891726167629444,0.0017552242237151708,14,1.673428806524742,0.38640803193028217,0.034161462938848676
4,1,0,31,0.5745892917675363,0.08284986428142965,0.0029560763662723204,44,0.4202308022223802,0.14405315127945864,0.0015344660879307757,11,1.5141358137342664,0.3176813684844711,0.0
4,1,1,63,0.5776038828480039,0.06799035537988721,0.002610975550698301,62,0.42235948595999007,0.1256991570234318,0.0024777998856765947,12,1.789378174912794,0.24647780654970605,0.0
4,1,2,162,0.5915499708954527,0.06542045837494394,0.00205513652991646,178,0.3981228669483966,0.10963606417486267,0.001732754944682413,23,1.764458571207858,0.3730373775960092,0.024312517187775783
4,2,0,41,0.5696813498285082,0.0871018592467976,0.0012549260247415872,53,0.44896395467103023,0.13860087490968637,0.0031119372173348627,19,1.5973877093916693,0.35457425099290163,0.04494554277932115
4,2,1,53,0.5795888008846384,0.07452490437822329,0.002522727748809573,66,0.40699987823657463,0.11803047509500073,0.002315230953326539,12,1.863372380648176,0.22712542488577986,0.0
4,2,2,287,0.5777710003924109,0.07084021546012732,0.001518383142493556,291,0.39808395931313434,0.12292444236505407,0.0009906041131729044,31,1.7682793449830612,0.2915732183407941,0.03612356717288323
5,0,1,2,0.5805592463253003,0.002971500959125468,0.03648239271004816,2,0.5092845283168247,0.09291510538489815,0.040771451532127356,2,1.6717369588243551,0.08564433182991094,0.22274356381647553
5,0,2,81,0.6235023090353472,0.050889974043524744,0.002936190947299772,156,0.4727351249203181,0.1400591895335364,0.0022177303068699958,9,1.9734525687676354,0.17081855226219797,0.043526709287421535
5,1,2,131,0.5961665084510668,0.0613810975566242,0.001976655944751372,162,0.4135484987262404,0.10562117770541699,0.0016311842226402762,8,1.8038107355178679,0.1758590247546264,0.05316765101922904
5,2,2,133,0.5960067281836188,0.053268418927990745,0.001404374299033425,154,0.46931862404931174,0.10846476168965598,0.0008974905560704434,21,1.9321507247659113,0.23859514089401643,0.02806527171872985
6,0,2,91,0.6166015006910684,0.055006859745672924,0.0024640547595920323,231,0.4804904805394023,0.160850292926417,0.0018407422203669183,7,1.8428286529941957,0.21650267365950177,0.0
6,1,2,161,0.6066409039752118,0.071418736584243,0.002569402708684225,169,0.4376666418614673,0.13502579795908562,0.0020136735468921866,18,1.8350695291791312,0.3621711570279823,0.07568694572476013
6,2,2,82,0.5989428017923526,0.06296928644684371,0.003584487558098935,95,0.3946028308635872,0.11916855872907334,0.0021734916669298573,8,1.991010262317444,0.14915953981255833,0.07432051854992401
7,0,2,50,0.6212250688317464,0.06295139712883276,0.002998881753064188,128,0.5017897569803855,0.1581125557562229,0.002456775039877644,5,1.9426500276870489,0.16029735742531948,0.06462356756762962
7,1,2,6,0.6347153101951707,0.049753885960529855,0.011259153864973137,23,0.4607281121568187,0.15963936831358266,0.007363419331412552,1,1.913551553883076,,0.0
7,2,2,46,0.6127348179763648,0.059966169760581806,0.002025854803344641,77,0.49775058961326474,0.10392469457536516,0.001537880001861475,7,1.8087853816758943,0.3370233072401656,0.061818792194514825
