glacier_type,precipitation_category,slope_category,aspect_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
0,1,2,0,4548,0.5475722912314789,0.05970419757064748,0.00018900091080043685,4726,0.5225662955069053,0.10490126159776708,0.0001965916567172293,4470,1.2918130996531358,0.31160670193158113,0.0011627266110187033
0,1,2,1,15721,0.5341670176123935,0.056304393671397966,5.947849514548995e-05,15923,0.5207258898671192,0.10042246878322958,5.819935023357554e-05,15625,1.231869501449362,0.28781363746651994,0.0003580045080003598
0,1,2,2,300,0.5590029735170099,0.0636784075931056,0.0005230956556363617,313,0.5066405493318863,0.10176022104916643,0.0005252775303052497,289,1.362913007359065,0.34793056556394664,0.00369679742734629
0,1,2,3,96,0.5426425539859999,0.0704487786677594,0.0010126295300474867,104,0.4991311360536347,0.10506830161291326,0.0008400838025183488,92,1.3481026954577857,0.3795397573685022,0.006636854081858444
0,2,0,0,3851,0.5321429681174398,0.05582740812797738,0.00010887241473910143,3895,0.5128486768672673,0.11615079943309836,8.220183725314201e-05,3828,1.2322318064434008,0.2931599710377576,0.0005155891880960651
0,2,0,1,6088,0.5299734625885225,0.05379281817164133,9.964909563687297e-05,6121,0.5110263318000823,0.11060142735318998,7.766906392525383e-05,6043,1.2244498384336744,0.2872242119353662,0.0004689293366536527
0,2,0,2,1438,0.535191258635592,0.06617144396458004,0.0001993567530132953,1510,0.5416418583396337,0.12339080470738618,0.00017548317046081342,1439,1.238494622442492,0.3426528808832263,0.0011604301870082314
0,2,0,3,923,0.5424228779936275,0.06754334697413276,0.00033973222754544807,957,0.535349050795032,0.12104292693949167,0.00028032420048857613,900,1.2761355781771122,0.3503070455322225,0.0019426097370634325
0,2,1,0,4676,0.5307457514924643,0.04990833234175007,4.08464742640716e-05,4692,0.5252577154091879,0.09458977077718478,4.101816106310136e-05,4623,1.2436422506828702,0.2655926969908128,0.00020300136570640956
0,2,1,1,9275,0.5260743622018911,0.04890591501278166,3.160468692154219e-05,9328,0.5162402912683066,0.0955777106492303,2.7398981440834507e-05,9246,1.2196968339144023,0.26595938577228745,0.00012900118108854515
0,2,1,2,2847,0.5378479387008108,0.05700634214308099,0.00010711114942685583,2852,0.559398451785658,0.10400845782994984,7.502819855823652e-05,2805,1.2736034419313809,0.3060009602667724,0.000663831292905885
0,2,1,3,1322,0.5379981578326032,0.05836796333538586,0.00011247624652805958,1333,0.5466455553683406,0.10661645955641486,9.04481712800477e-05,1300,1.2761151732206102,0.30728834202062993,0.0007034780822543159
0,2,2,0,4047,0.532598240795707,0.05118150766092938,8.15024715979178e-05,4084,0.5337916981143088,0.09185854324656471,0.00010116633924143696,4006,1.2472733850436057,0.2735879441991417,0.00046745038476468003
0,2,2,1,8277,0.5277253106144077,0.05186354952765746,3.855390936111539e-05,8345,0.5212572681169096,0.0935005023557662,4.0871594961539164e-05,8212,1.231233408666494,0.2719751472930277,0.00022158313634309214
0,2,2,2,4082,0.5345098811345719,0.056857463028871916,0.00010425645689989892,4106,0.5467550659267609,0.09739692335596824,8.065162297657698e-05,4052,1.2569018553097249,0.30001016880821413,0.0006020204444184425
0,2,2,3,1768,0.5363930618177709,0.05933972962194393,0.00016215105658443237,1792,0.5377067928905547,0.10142902337313826,0.00013729070024263678,1751,1.270614396919692,0.3238446028560213,0.0010509985574269597
1,0,0,0,2113,0.5545288674733976,0.06495437788682334,0.0004614383890718314,2258,0.5160101574028673,0.11221224849112321,0.00038328968608056924,1797,1.3690347217147498,0.3581286027885251,0.0028549427651819986
1,0,0,1,4806,0.5446486002794236,0.0654619984825147,0.00029143457401543526,5057,0.5013647504584419,0.11460174842414783,0.00022746866921988885,4286,1.3469257350234198,0.3668254158035208,0.0017177189244364263
1,0,0,2,203,0.5371349605513792,0.05860209525775361,0.0008411913167923257,209,0.46885898578090834,0.10577699351548889,0.0007619703499153776,200,1.2061781185421734,0.2832846154354868,0.004304035337864959
1,0,0,3,62,0.5453793553000927,0.07445696699188237,0.0023315933395937033,69,0.4766201348402205,0.12073463708224144,0.0021760541802326645,59,1.2374619554128194,0.360327895260259,0.014092410010530467
1,0,1,0,533,0.5595605085942895,0.06669468789659057,0.001099642701771875,599,0.49073768152409675,0.11019475199220072,0.0009329556632482216,482,1.3755186195262201,0.35914376586587443,0.006778249813016896
1,0,1,1,2136,0.5353413552588607,0.06540624983093539,0.00047444531181020086,2299,0.46375219789761274,0.0971239929906819,0.0003823023987754843,2044,1.2606920928048502,0.34875507182156135,0.0029109583572685355
1,0,1,2,155,0.5507673798766985,0.060376150270333946,0.000978220496065521,162,0.5027989684250009,0.10019522408297002,0.0009912624386348929,150,1.2797199997290476,0.3088071338116464,0.0066048878436530765
1,0,1,3,35,0.5562185070034017,0.06797713355478349,0.003205774061902768,39,0.4663245787036676,0.12278286782019146,0.0028596162039735548,33,1.3151302744675957,0.3407020817968901,0.017362780376748394
1,0,2,0,243,0.5752282714613265,0.06703659878039918,0.0016567126620215364,273,0.5037744274630274,0.11551626984300317,0.0016594216018153225,218,1.4288215471174222,0.3617184188317014,0.011399983153966235
1,0,2,1,884,0.5437912447771018,0.0686346772734933,0.0007414833307087676,954,0.47101178848838404,0.10475592969380101,0.0006625090029107658,827,1.2559762338217126,0.3334555131759893,0.004475654006351302
1,0,2,2,83,0.5639921055036078,0.05640008794213226,0.0015485981613175492,88,0.4891490117623189,0.09977352956748836,0.0015526781026977132,82,1.3997562064597475,0.33598380626634633,0.009022951791693245
1,0,2,3,17,0.591155007219036,0.06452015917948016,0.003906601226459419,22,0.47419416464058733,0.11492367657069306,0.003963677359905827,15,1.4625355498169281,0.314811543299483,0.011986026174537064
1,1,0,0,2458,0.5282143101906878,0.057870020264564594,0.00028234066310010603,2540,0.4919410129774358,0.09799494795699099,0.0002271317004606424,2373,1.2319871665985374,0.33022218784385954,0.0013270723844819136
1,1,0,1,4825,0.5193126214192477,0.05772810753217777,0.00020134443131773606,4926,0.47930932554717337,0.09453718187444464,0.0001371631939588094,4697,1.1881080378068356,0.31122683754640534,0.0009317533605254092
1,1,0,2,125,0.5364201624371081,0.07669420719456789,0.0008860469510116501,131,0.5206555450220945,0.11610372271283688,0.000620578345424792,120,1.2089595487770923,0.3722955299763995,0.006046220331988135
