glacier_type,temperature_category,precipitation_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
3,1,0,295,0.5814730902400799,0.058485801411223566,0.001143831989316928,362,0.5269485920022873,0.12321864445328061,0.0010678098231798195,218,1.4651809229211439,0.33576638276389376,0.009099941317991462
3,1,1,208,0.5673410385578859,0.0596994369964361,0.0012998951720802755,229,0.5017225976712488,0.1152274081132803,0.0011645228166894106,166,1.430393814205252,0.3615114867505572,0.009074717936217254
3,1,2,6,0.5537351700213974,0.08375293596843723,0.009837042410893532,6,0.4977915286815251,0.033878595898973,0.007559490857128953,5,1.2365077371218942,0.31925684077883154,0.031191614444992855
3,2,0,55,0.5593919701717022,0.06357684219398446,0.003648676446391519,59,0.4804522458886498,0.10889395862466204,0.002678008308889314,48,1.3034111832761412,0.26819549033759765,0.021026919071390884
3,2,1,135,0.5408747502652299,0.06384934183592322,0.0010722887106088352,137,0.5032357427678028,0.10272339050531464,0.0007680420630054041,126,1.283352636621154,0.3363317367384629,0.004958393524200099
3,2,2,536,0.5518554391335483,0.06343460077266018,0.0003939925152359746,571,0.52240677787355,0.09779447247664459,0.00036821062435813144,419,1.4324652751419609,0.3478955053251375,0.002908634238218132
4,0,0,117,0.6097290587707189,0.06860097732067223,0.002580450662419345,216,0.41757702220441745,0.13448916030354224,0.0019470788759435023,24,1.626606587550545,0.316096741696126,0.02878236435118149
4,1,0,46,0.5908562102841863,0.07070261374195722,0.002590995214667869,69,0.4427815762582947,0.13811224245580753,0.00253013956579691,7,1.6560221018156365,0.4277404975920578,0.0
4,1,1,95,0.5873435011396061,0.06695612336682034,0.002116209713395403,109,0.38846223512472194,0.10851619694754872,0.001908177326860458,16,1.6581697706421246,0.43613947888341503,0.016568339595932773
4,1,2,62,0.5825691717010719,0.06468940117455646,0.002894324092359025,63,0.41252603691317,0.12606247397078665,0.0017337992964031686,5,1.4811538976147227,0.30529517239755893,0.0
4,2,1,157,0.5838058673430021,0.06924433568209079,0.002049950668201888,160,0.42758579032554883,0.12287393395482855,0.001654077235067845,30,1.7393287619179068,0.2866387671230536,0.016411939209943136
4,2,2,319,0.5761007218088092,0.074664713204394,0.0013234012558911328,346,0.40534457983975264,0.1250334608505187,0.001008046142694885,57,1.7565214956600195,0.3062266760606312,0.024706820706682547
5,0,0,60,0.6248709457673907,0.047000401563074154,0.003528620955212932,116,0.493471431066037,0.13600421206019636,0.002637737953959765,10,1.8965811026395574,0.19333923941300413,0.0593227872760026
5,1,0,20,0.6171182884520939,0.06164394507314083,0.006393731453472296,38,0.42407863396046036,0.13856388425336344,0.004642178880740892,1,2.1387360101618555,,0.0
5,1,1,94,0.6038383535720456,0.05593184390721403,0.0023538559363279195,119,0.4144477974292074,0.10740301857490189,0.002054340146963601,4,1.8545496791089728,0.21317050215189987,0.08746572624234676
5,2,1,37,0.5765571437382454,0.07121454605474238,0.003449776220424976,40,0.4096388261468019,0.10386986083446434,0.0019318023350857049,4,1.7530717919267629,0.14090690067857806,0.060472664837172174
5,2,2,114,0.5941617574171788,0.053455206660803126,0.0014551280418404668,132,0.4736564008413024,0.10612634700912073,0.001007461279013082,21,1.9321507247659113,0.23859514089401643,0.02806527171872985
6,0,0,41,0.63796654154953,0.047116762536008,0.0040076425696594165,123,0.5207474917643946,0.1648438317169456,0.0027446859947577494,5,1.9263758587200104,0.19633439537045075,0.0
6,1,0,50,0.5990821671871298,0.05522808497215471,0.0030515413423531763,108,0.4346422177553833,0.14369042098253224,0.002393719378312175,2,1.6339606386796584,0.06999495880419426,0.0
6,2,1,149,0.6017245190860616,0.071538489158613,0.002700504409635452,151,0.4436435980792974,0.1357214340650078,0.0020243821547336785,18,1.8350695291791312,0.3621711570279823,0.07568694572476013
6,2,2,64,0.5939435067020439,0.06257298827563809,0.0039885192130939525,76,0.41087487563869574,0.12390163430355051,0.0022678395020961205,8,1.991010262317444,0.14915953981255833,0.07432051854992401
7,0,0,29,0.635474046245564,0.04690297538122471,0.004656456517514365,86,0.5313540643965642,0.15493139957459195,0.0031649099813886856,4,1.971247320889053,0.16973004803759664,0.08077945945953702
7,1,0,21,0.6015479095459982,0.07699518716207633,0.0031037149502943454,42,0.441253317985353,0.14861515429455957,0.0037500144594371,1,1.828260854879032,,0.0
7,1,1,6,0.6347153101951707,0.049753885960529855,0.011259153864973137,20,0.45875273549644024,0.17083011021794173,0.0074706536379486365,1,1.913551553883076,,0.0
7,2,2,44,0.611718564380333,0.06077651207178278,0.0020751571810765836,75,0.4975189300073533,0.10437859458035602,0.0015731082846332262,7,1.8087853816758943,0.3370233072401656,0.061818792194514825
