glacier_type,precipitation_category,area_category,aspect_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
1,0,2,2,139,0.5638860964207217,0.05777819092307674,0.001522660484190072,155,0.468580638546435,0.09777287636969134,0.0013746270742470716,133,1.3684688580494,0.31890226500649,0.009507401191035679
1,0,2,3,33,0.5967079054881274,0.06765704248797907,0.004558880874233536,46,0.4323769810034227,0.10014561113051028,0.0033538142444599723,27,1.5012209033330777,0.3525619134723794,0.02982238667400055
1,1,0,0,581,0.5197390709079103,0.06089773267211373,0.0004186234531536206,595,0.519467492968291,0.10734302786935829,0.00028835350638392403,588,1.1416325023863678,0.29922391494626654,0.001822561971272324
1,1,0,1,1178,0.5121233974982858,0.0625375968214313,0.00029094615100676215,1209,0.5094483119600491,0.10761967555730982,0.00025181617539117703,1198,1.0961640311234009,0.30006625418079164,0.0013439733485470472
1,1,0,2,119,0.5185653871982528,0.07132422200307513,0.00021285804475906732,125,0.5334831268708317,0.10418597523946957,0.00019918194685205216,118,1.1175092903459245,0.3228227867675453,0.0017363538323932075
1,1,0,3,41,0.5361716556031546,0.06683481990207381,0.001520751326484287,41,0.5311660271417488,0.10864958098941717,0.0018222093117791066,41,1.2389193160679826,0.3298041058206465,0.008258803621269295
1,1,1,0,1510,0.5159951829404066,0.05403634005301946,0.00028481767772675713,1545,0.5011602291634571,0.09834337641529499,0.00027703651994126076,1523,1.1360660355302097,0.2691146323913694,0.0012701325795192637
1,1,1,1,3006,0.5036629316888899,0.053005126831193156,0.00018721279212623404,3057,0.4864129016321371,0.09582001794583277,0.000149791800746585,3048,1.0805959827746592,0.25386607161568236,0.0008312393202089065
1,1,1,2,132,0.518709232062328,0.06495619023346995,0.0004019952894091658,133,0.5393114257817151,0.11054794242858712,0.0004616697800492886,132,1.1518418707193556,0.31299288703377415,0.0026901983726539055
1,1,1,3,58,0.5287715607541945,0.05067516386606493,0.0011015518639088389,57,0.5160884785376312,0.10023014653368549,0.0014496410743795709,58,1.2266242808204293,0.26737207979168814,0.006776681930495499
1,1,2,0,3006,0.5374802625726319,0.062340111337368935,0.00028731880311436413,3158,0.48173725912824616,0.0972885507472763,0.00023550252881304854,2841,1.2956889696106766,0.3505829838572214,0.0015645208932538522
1,1,2,1,6224,0.5242152358176319,0.059908051109139854,0.00018185338824426952,6416,0.46866500610958883,0.08931679006360575,0.00013202133256653864,5998,1.231370045901637,0.3242374745750455,0.0009192845348647476
1,1,2,2,162,0.548768696208023,0.0670218843012574,0.0012631502554995488,174,0.45932561474829336,0.09540952092391138,0.001074938467930368,155,1.3149980902133696,0.32733714708450223,0.007778821292348395
1,1,2,3,55,0.5416097692638282,0.07658198575853534,0.0017043697794563168,60,0.43787293651779546,0.11521351306502248,0.0016954792939416665,53,1.3236978155868944,0.39693288571662255,0.010767422584199096
1,2,0,0,987,0.51996589579724,0.06068607644463796,0.00028113749231368867,1020,0.5147570456089992,0.10438579165405153,0.00027183140665954707,997,1.1390977916636795,0.2906460292721757,0.0012609746449889238
1,2,0,1,1225,0.5184858405331704,0.0608069127073272,0.00020519617198514603,1249,0.5144591181133431,0.1017221435769895,0.00017315284063924112,1235,1.139088967800638,0.2925667015644873,0.001026334495888698
1,2,0,2,1158,0.5299151883956361,0.06491049479774827,0.00021557915958417162,1178,0.5361221744642943,0.11719624324737139,0.00018165520421023612,1155,1.2038308098401593,0.32058179278088966,0.0011051471215703143
1,2,0,3,538,0.5306535769021621,0.06732330816769373,0.0002924123213883267,559,0.5304517120555905,0.11636746628826018,0.00032434569969439343,537,1.2151272168442964,0.3298165200930105,0.0020274986467940666
1,2,1,0,1536,0.5147268647978114,0.05165654540840943,0.0001979577804247514,1541,0.5075664690880514,0.09766477648286878,0.0001660655741626448,1535,1.155478334649469,0.2546397729590715,0.0008793621168001261
1,2,1,1,2309,0.5129671210469354,0.04974331372288598,0.00013214830500290226,2333,0.49504180205197346,0.0965357640682513,0.00010086090669075677,2336,1.14400347380843,0.25387211375787594,0.0005265988852896761
1,2,1,2,1222,0.5232331118608203,0.051532650717686874,0.00019288985283935975,1224,0.5528359687844348,0.1048029939904337,0.0001834657467561479,1235,1.208851776736192,0.2713252618714233,0.0011035665080581535
1,2,1,3,693,0.5213115092019486,0.05576721390098794,0.00025614479928950576,694,0.5421592478514751,0.11083369410262225,0.00023454350228596055,695,1.2042016160504645,0.2827495032934598,0.0011361505023849772
1,2,2,0,2634,0.5399617440033914,0.05914634571938479,0.0001906499975497799,2694,0.5090671226193827,0.09606093733817253,0.00014897105988654854,2396,1.3484990564429629,0.34292174140495524,0.0010858123369138731
1,2,2,1,5318,0.5359021602175235,0.056922477024366085,0.00011790152870439912,5406,0.4982489344569467,0.09428334330685273,8.168109942022393e-05,5019,1.3351317428921725,0.3327186503690064,0.000616615334394315
1,2,2,2,1828,0.5397694237374958,0.05615265287183181,0.00022694517284994537,1875,0.5183810233809161,0.09603910839148634,0.00017179425985699092,1749,1.350566638150804,0.30703519451730105,0.0012524042468539272
1,2,2,3,870,0.5394879385098735,0.0634170855593656,0.0003930284524843448,905,0.5097312489656395,0.09764452006149844,0.0003176085923355546,814,1.3429964486626174,0.32619778879639105,0.0024325151918934244
2,0,2,0,842,0.6013184484620585,0.054401703513771354,0.0010175244765492073,1048,0.5438171831407804,0.10801834912558794,0.000850464082119501,674,1.5993307874009457,0.30499569576722885,0.007516060741509098
2,0,2,1,1212,0.5973029360645926,0.05747212676043938,0.0008433280041643018,1517,0.5263839102171508,0.11692842033690269,0.0007111402658323855,933,1.574471423922567,0.3328199233975621,0.006459900886008922
