glacier_type,temperature_category,precipitation_category,slope_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
0,1,2,1,537,0.5302350453907121,0.052648786158657736,0.00020917917465688654,538,0.5217833424542216,0.09792559147562518,0.00021148086306115296,527,1.2490765855165915,0.28318649248909356,0.0010904280431894703
0,1,2,2,783,0.5405751438025745,0.05369930336533051,0.00025182878853643765,796,0.5368205376884275,0.09860425896851878,0.0002902859033912528,759,1.3135914251840806,0.2972369713208385,0.0016657168078817257
0,2,0,0,1712,0.5381596264794178,0.05848758523292976,0.0003405731837832014,1779,0.5051172043375034,0.11105329582461299,0.0002625345405355177,1696,1.2133962694369038,0.2960595135563437,0.0019476001551093282
0,2,0,1,2801,0.5352443531786313,0.055382779535211,0.0002509921879671654,2842,0.5100345532722974,0.10007411535088337,0.0002183695222573303,2780,1.210873213500581,0.27793488963373564,0.0014595638517153923
0,2,0,2,3438,0.5493587313996371,0.052501349191091624,0.00022601033657989667,3492,0.5352835891065133,0.09611968866502718,0.00022192123315373545,3418,1.2821317351461665,0.2736351113052922,0.0014033071658257439
0,2,1,0,7740,0.5289680914713114,0.054730259671350735,9.972974788250242e-05,7889,0.49683184051830576,0.10648551949828501,7.563842462104472e-05,7699,1.1944418560517225,0.27990239184866517,0.0004989382540461805
0,2,1,1,10744,0.5221713581494083,0.05146470670619213,5.793621316583373e-05,10910,0.5001447103192297,0.09674150946340718,4.757507193646437e-05,10774,1.16517161520749,0.25903370229271133,0.00026695321438453514
0,2,1,2,10727,0.5289011393520483,0.05623164395000029,5.5434435428654936e-05,10890,0.5209846001059716,0.0997799135256163,5.3812370929572755e-05,10723,1.205053989416232,0.2854990312351761,0.00032849332500185807
0,2,2,0,11919,0.532399936093733,0.05723354852937003,7.009907512235444e-05,12102,0.5174010596191592,0.11551495532196147,5.6003874263327246e-05,11834,1.2331175141677053,0.30157883255652335,0.00035131537774637475
0,2,2,1,17576,0.5299984304318949,0.05141702674706393,2.698150406439103e-05,17660,0.5277273383568793,0.09883914248127201,2.1911714568362205e-05,17440,1.2380605306307741,0.27624410428559365,0.0001436546631079429
0,2,2,2,17348,0.5306449601586439,0.05366858571917471,3.7614104151063495e-05,17475,0.5311464197888038,0.09510901034601316,3.498789619262041e-05,17222,1.2409372706110346,0.2835140762071685,0.0002193529083266028
1,0,0,0,3958,0.560783278692675,0.06395516635840989,0.00034355678602620096,4251,0.528218948552231,0.11807637106556698,0.00028780831922598036,3300,1.446294656682375,0.34510976019704,0.0021990857466332955
1,0,0,1,909,0.5667280243323946,0.0678752140411986,0.0009480616169789154,1050,0.4830161742864866,0.10186143793721546,0.0007705164744057213,796,1.4654200941297635,0.35864736465317804,0.006367553400582947
1,0,0,2,365,0.589357463008858,0.06544236246644008,0.0017454630838739619,434,0.47533777604531896,0.11263471524973512,0.0015050691930891297,304,1.4811336299616435,0.33464026534976293,0.012087032764284668
