glacier_type,temperature_category,aspect_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
3,0,1,565,0.5950537458153523,0.060097955432672205,0.0010478344776105161,698,0.5660997024470779,0.11956496822270538,0.0008996980514621995,375,1.6412492115741653,0.3105487943598652,0.008551536426112276
3,1,0,224,0.5786290396647757,0.06235704970831506,0.0012919049877939683,283,0.5345231988224115,0.12689255147889433,0.0012088913052539774,169,1.4469099960522933,0.3461447149542965,0.00918560201382601
3,1,1,285,0.5728105395652014,0.057357414583051235,0.0011461532427844022,314,0.5011673537480594,0.11161285143071695,0.0010346563617846015,220,1.447770744125696,0.3488149646819387,0.008883012202984276
3,2,0,205,0.5445159720720093,0.060619301824291455,0.0010143244926170275,220,0.5249273077212919,0.10192450374955231,0.0006720118250320382,187,1.3412206142179863,0.3352773037724026,0.005132462888187953
3,2,1,208,0.5450918926921018,0.060196734466768126,0.0008747876438723555,212,0.510203606947062,0.09853214125888354,0.000715601528448779,183,1.306830746908253,0.3135137683573125,0.005263022393380586
3,2,2,166,0.5584871558136125,0.06743627467363128,0.0007382626909265627,184,0.5078169833084212,0.10114970180584111,0.0009038539462755264,115,1.4925601894669085,0.3610311676012016,0.0054844618795274165
3,2,3,147,0.556907545585393,0.06698288606322514,0.0008179991886948628,151,0.5198592856437451,0.09863523530243379,0.0005814783263742675,108,1.5080223700401254,0.3428692925888424,0.007451728687689528
4,0,0,29,0.6297019631133453,0.06800761680824405,0.004861508900658515,66,0.39302234972620115,0.12961258938425887,0.0034217400938553215,6,1.6637821847287517,0.15509357759588832,0.07078204541715813
4,0,1,53,0.6210178718259801,0.06668512732795007,0.0034013717552082963,105,0.45941086076026316,0.13727524208792186,0.0027564861664663787,6,1.3416899133104614,0.39985284692825296,0.03665513511859866
4,0,2,15,0.5825818550579249,0.060032985953750145,0.008392592168360323,22,0.31808961514359657,0.09155986448122345,0.004211501797482416,4,1.8531871754609965,0.05700132591645296,0.1246092449467186
