glacier_type,temperature_category,precipitation_category,area_category,slope_category,aspect_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
1,2,1,1,2,1,423,0.5011500868564083,0.053174210682774344,0.0002837390339792771,436,0.485265062134845,0.09438046323736914,0.0002629479517198522,435,1.0891364927288725,0.26280324661975046,0.0011909886798332143
1,2,1,1,2,2,41,0.5291309940192712,0.05347789522975449,0.0,41,0.5183130862486731,0.10187048733887984,0.0,41,1.2228644955495236,0.26847517224741324,0.0
1,2,1,1,2,3,20,0.5404517820736526,0.041815963658042035,0.001052684354617095,20,0.4910788876795086,0.10006106670435656,0.0024972655595198318,20,1.2880713292905195,0.2205307009825531,0.0054438048352060675
1,2,1,2,0,0,699,0.5239326580611708,0.05771247807799717,0.0005333928144871137,722,0.4910291899641661,0.09340861734724283,0.00033090592473121943,689,1.2155061670903695,0.31012749542034485,0.002280158413383805
1,2,1,2,0,1,1786,0.5174478409487037,0.05312532640944273,0.0002871563744807067,1822,0.4767314686178836,0.08887268093560427,0.00019266180652337462,1780,1.204358753866115,0.29543368716926205,0.0012887849689985254
1,2,1,2,0,2,40,0.5519915923825417,0.0726443248402293,0.002392302201883921,43,0.4771311488953101,0.11278724205247825,0.0015310992538047133,37,1.2969736091752944,0.36217067869914626,0.01672692800247877
1,2,1,2,0,3,13,0.5445448934637521,0.09202940429315624,0.0037755494534566997,14,0.4882744718519433,0.1347421103322251,0.003950102497750794,12,1.2886000508601747,0.43706409847683847,0.01677391901851624
1,2,1,2,1,0,357,0.5281979053207763,0.06275154497716233,0.0006937440902892624,362,0.49595397848816186,0.08861790101549898,0.0005083769782226561,348,1.270746912149826,0.3338509105187114,0.003805133066960158
1,2,1,2,1,1,965,0.5144600160730889,0.05841239904146979,0.0003477566855801629,988,0.4666134214836273,0.08590493395739746,0.0002548860918220674,960,1.1992866604273864,0.3171324619235426,0.0016273377694352859
1,2,1,2,1,2,84,0.5366484095940434,0.06637216352627259,0.0016883759603744896,91,0.4531726523026635,0.08738717219660137,0.0016267302636350362,82,1.2769459691739453,0.31386845467058916,0.009495704526366814
1,2,1,2,1,3,26,0.5252830595325476,0.06754847647250946,0.001955663841558229,28,0.42905973830969096,0.1153821290416956,0.0016959330928072338,26,1.2538790537768132,0.36863816867581306,0.012298583653709366
1,2,1,2,2,0,125,0.5316060963113077,0.060347477822754424,0.0012309112551210741,133,0.49890871618211835,0.07971837730916384,0.0012716287901440248,125,1.2728144721438857,0.34795982071332276,0.006825915055986708
1,2,1,2,2,1,276,0.517729627216421,0.06106081824357913,0.0008156948148322446,291,0.4691773383040377,0.07832889954998436,0.0006657182384801183,271,1.1980024150490987,0.334974308519828,0.004219683044208877
1,2,1,2,2,2,36,0.5709516448271797,0.057859273225324734,0.0029472917179308444,38,0.457333161671074,0.09400779137261975,0.002394102002042022,34,1.4131856336446962,0.3133243004543778,0.018807562093738732
