,RGIId,lat,lon,area_2020,n,slope,intercept,r_value,p_value,mad_err,wgms_AAR_mean,wgms_SMB_mean
292,RGI60-07.00504,78.88760376,11.83090019,,14,0.039848498,0.322917907,0.802283646,0.000554969,0.008559064,0.173571429,-374.7857143
3479,RGI60-07.00570,78.69999695,17.18300056,,9,0.04452908,0.501800859,0.954397834,6.38E-05,0.005264589,0.476666667,-56.44444444
1456,RGI60-07.01481,78.80000305,12.97999954,,20,0.052323082,0.447301492,0.969961477,1.70E-12,0.003092935,0.369,-149.65
342,RGI60-08.00006,68.08360291,18.05439949,,6,0.069777913,0.603481898,0.97742294,0.000758831,0.007542042,0.388333333,-308.3333333
334,RGI60-08.00188,67.91000366,18.5,,13,0.021276945,0.419805278,0.798273763,0.001070616,0.004840277,0.317692308,-479.9230769
1461,RGI60-08.00199,68.08000183,18.68000031,,18,0.015979258,0.298481542,0.681159122,0.001856182,0.004293777,0.207222222,-571.1111111
332,RGI60-08.00213,67.90299988,18.56800079,,20,0.016107982,0.447062748,0.969458486,1.97E-12,0.000960493,0.384,-391.5
302,RGI60-08.00312,61.56999969,8.130000114,,15,0.036369255,0.522797714,0.913770867,1.92E-06,0.004484328,0.380666667,-390.8
300,RGI60-08.00449,61.56000137,8.43999958,,16,0.035247824,0.555747087,0.968182941,8.14E-10,0.002434858,0.374375,-514.5625
299,RGI60-08.00987,61.6570015,8.600000381,,8,0.036203776,0.277195178,0.719791396,0.044091364,0.014254442,0.14125,-375.5
290,RGI60-08.01126,61.72000122,7.130000114,44.95,17,0.036185364,0.587453704,0.948295114,7.09E-09,0.003127065,0.582941176,-12.47058824
323,RGI60-08.01258,70.12799835,21.73500061,,9,0.034010088,0.610352609,0.823622427,0.00635579,0.008851558,0.365555556,-719.7777778
321,RGI60-08.01286,61.81499863,7.352000237,,12,0.023707728,0.703745299,0.896040969,8.01E-05,0.003714643,0.684166667,-82.58333333
298,RGI60-08.01657,66.65000153,13.85000038,35.96,18,0.025645828,0.61124652,0.965850235,8.36E-11,0.001719951,0.572777778,-150
2296,RGI60-08.01779,60.53900146,7.368000031,17.086,10,0.021093329,0.720915824,0.86834249,0.001118002,0.004259515,0.77,232.7
2670,RGI60-08.02384,67.2990036,16.05699921,,5,0.024298705,0.481197995,0.974883975,0.004760113,0.00320491,0.346,-556.4
322,RGI60-08.02650,61.75,5.679999828,,8,0.028502546,0.571109093,0.946464556,0.000368351,0.003968694,0.61625,158.375
317,RGI60-08.02666,61.75,5.650000095,,10,0.032746436,0.530187401,0.93763141,6.14E-05,0.004292452,0.589,179.6
3343,RGI60-08.02918,59.94499969,6.282999992,,7,0.024704744,0.496536523,0.983665883,6.49E-05,0.002021761,0.541428571,181.7142857
2671,RGI60-08.02962,60.07089996,6.364999771,,6,0.035800788,0.52452354,0.991592398,0.000105735,0.002335962,0.5,-68.5
1320,RGI60-08.02963,60.08300018,6.399000168,,6,0.036098898,0.544598812,0.963286166,0.001997115,0.005030548,0.576666667,88.83333333
3339,RGI60-08.02969,59.94900131,6.331999779,,7,0.025769025,0.497412874,0.917514004,0.00358871,0.004995278,0.664285714,647.5714286
780,RGI60-10.01708,50.04850006,87.78079987,,16,0.067938892,0.732251846,0.808123537,0.00015202,0.013234319,0.623125,-160.625
795,RGI60-10.01732,50.04946136,87.74907684,,18,0.035329925,0.668817198,0.965539245,8.98E-11,0.002380762,0.578333333,-256.1111111
794,RGI60-10.01737,50.08160019,87.69210052,,18,0.016194761,0.618525772,0.961463797,2.17E-10,0.001157727,0.571111111,-292.7777778
791,RGI60-10.04358,54.83069992,161.8023987,,5,0.012345368,0.652741729,0.901623407,0.03648857,0.003419215,0.692,318
535,RGI60-11.00002,47.47999954,13.61999989,,8,0.026385846,0.612376408,0.956898587,0.000193762,0.003269335,0.39875,-809.625
