RGIId,wgms_ELA,wgms_THAR,wgms_AAR,wgms_AABR,CenLon,CenLat,compile_AAR,intercept_AAR,steady_AAR,compile_ELA,intercept_ELA,steady_ELA,compile_THAR,intercept_THAR,steady_THAR,compile_AABR,intercept_AABR,steady_AABR
RGI60-05.20030,762.1452052971799,0.4240561160938608,0.6300328065400205,2.6919163027655584,-20.8288,74.3778,0.5473509805669421,0.5473509805669421,0.5473509805669421,808.2181332064312,808.2181332064312,808.2181332064312,0.4724472668088765,0.4724472668088765,0.4724472668088765,1.8896304316352976,1.8896304316352976,1.8896304316352976
RGI60-06.00234,1139.8540196503773,0.4616965773756505,0.5339709190681942,1.733135020115181,-18.6422,64.7989,0.5339709190681942,0.5339709190681942,0.5339709190681942,1139.8540196503773,1139.8540196503773,1139.8540196503773,0.4616965773756505,0.4616965773756505,0.4616965773756505,1.733135020115181,1.733135020115181,1.733135020115181
RGI60-06.00236,1280.8309162951136,0.5229325822735059,0.6281687091534847,2.5793220226083617,-19.0241,64.757,0.5806053961160957,0.5806053961160957,0.5806053961160957,1317.8963442456015,1317.8963442456015,1317.8963442456015,0.5589765884555633,0.5589765884555633,0.5589765884555633,2.0763221911275305,2.0763221911275305,2.0763221911275305
RGI60-06.00238,1223.5963782478768,0.4222988480911291,0.5232336040583884,1.4656923292526791,-18.9072,64.9014,0.4940797529626524,0.4940797529626524,0.4940797529626524,1242.3313644048824,1242.3313644048824,1242.3313644048824,0.4440343468155024,0.4440343468155024,0.4440343468155024,1.3021773893340611,1.3021773893340611,1.3021773893340611
RGI60-06.00377,1142.668687420599,0.4212161791171571,0.6258219012957584,2.4441011250716147,-16.2675,64.5867,0.603044719722838,0.603044719722838,0.603044719722838,1159.9123085407518,1159.9123085407518,1159.9123085407518,0.4352911808795522,0.4352911808795522,0.4352911808795522,2.200983311839391,2.200983311839391,2.200983311839391
RGI60-06.00424,1343.5232803155366,0.4387123827940409,0.5864771050260827,2.022283811525345,-17.7174,64.5628,0.5468327767566914,0.5468327767566914,0.5468327767566914,1384.5901433326628,1384.5901433326628,1384.5901433326628,0.4766426045960688,0.4766426045960688,0.4766426045960688,1.7103831660172162,1.7103831660172162,1.7103831660172162
RGI60-06.00443,1049.9688897041751,0.369501336220582,0.5905279489180371,2.058958660810852,-17.927,64.3475,0.3649689954371011,0.3649689954371011,0.3649689954371011,1184.2175946118768,1184.2175946118768,1184.2175946118768,0.5042136133763291,0.5042136133763291,0.5042136133763291,0.8038640627200409,0.8038640627200409,0.8038640627200409
RGI60-06.00472,1126.414093562844,0.5493769068453691,0.548126086725172,1.621687497117386,-15.6083,64.6284,0.6026315187872773,0.6026315187872773,0.6026315187872773,1096.4952553989397,1096.4952553989397,1096.4952553989397,0.5140853738852943,0.5140853738852943,0.5140853738852943,2.0643449593313146,2.0643449593313146,2.0643449593313146
RGI60-06.00477,1282.58817164344,0.4470267060760375,0.6401970023766765,2.5750735923926946,-17.0539,64.6745,0.6189128540024057,0.6189128540024057,0.6189128540024057,1305.4314474905468,1305.4314474905468,1305.4314474905468,0.4658657555615894,0.4658657555615894,0.4658657555615894,2.334748322997938,2.334748322997938,2.334748322997938
RGI60-07.00240,298.9521803283673,0.4703582332492609,0.5583791807636219,2.5910190734311827,15.5799,77.0748,0.8273199278086024,0.8273199278086024,0.8273199278086024,177.81655647322088,177.81655647322088,177.81655647322088,0.2647939626656503,0.2647939626656503,0.2647939626656503,14.322162652553525,14.322162652553525,14.322162652553525
RGI60-07.00490,382.30622439751255,0.4520460428644257,0.3490790767891272,0.9758840886454372,12.1249,78.6651,0.4654098663367537,0.4654098663367537,0.4654098663367537,341.82992545448155,341.82992545448155,341.82992545448155,0.3844314995974933,0.3844314995974933,0.3844314995974933,1.631708974781284,1.631708974781284,1.631708974781284
RGI60-07.00492,294.98563474951766,0.3444929062798422,0.4615756466017127,1.5012136234205478,12.0692,78.6774,0.4238301221394925,0.4238301221394925,0.4238301221394925,308.44053001748136,308.44053001748136,308.44053001748136,0.3761187305684894,0.3761187305684894,0.3761187305684894,1.289820728425579,1.289820728425579,1.289820728425579
RGI60-07.00493,381.4040548165246,0.513245836646744,0.3997315277707039,1.252972979333421,12.0311,78.8779,0.5645270450455139,0.5645270450455139,0.5645270450455139,317.1428901772624,317.1428901772624,317.1428901772624,0.4108950972403227,0.4108950972403227,0.4108950972403227,2.6836571978625483,2.6836571978625483,2.6836571978625483
RGI60-07.00496,346.59354825518545,0.4660840838914554,0.6249730110260042,2.884683233447515,12.1614,78.871,0.5659707823442515,0.5659707823442515,0.5659707823442515,364.5535154076725,364.5535154076725,364.5535154076725,0.5031500730687364,0.5031500730687364,0.5031500730687364,2.1929880236078234,2.1929880236078234,2.1929880236078234
RGI60-07.00504,345.50437894114583,0.4600961921470057,0.3277020147031523,0.9478482812380185,11.8309,78.8876,0.4792640419033091,0.4792640419033091,0.4792640419033091,288.83421841624624,288.83421841624624,288.83421841624624,0.3591819301432032,0.3591819301432032,0.3591819301432032,1.86543002746148,1.86543002746148,1.86543002746148
RGI60-07.00570,730.8557323679667,0.6035769439072199,0.4883797586157573,1.8141726709509771,17.2916,78.7023,0.693552053037334,0.693552053037334,0.693552053037334,541.960974433611,541.960974433611,541.960974433611,0.4328733745455911,0.4328733745455911,0.4328733745455911,4.919852019500174,4.919852019500174,4.919852019500174
RGI60-07.01481,615.2982423515821,0.6321263329219954,0.4465931742079331,1.365211029503551,13.1481,78.7872,0.6470829653110295,0.6470829653110295,0.6470829653110295,517.84315266475,517.84315266475,517.84315266475,0.5307665341934369,0.5307665341934369,0.5307665341934369,3.6004367725582958,3.6004367725582958,3.6004367725582958
RGI60-08.00006,1341.453102490009,0.6843446837608514,0.6102923832700436,1.7135926060572717,18.055,68.083,0.5621300215036783,0.5621300215036783,0.5621300215036783,1352.84200316738,1352.84200316738,1352.84200316738,0.720125409776175,0.720125409776175,0.720125409776175,1.4009857691923342,1.4009857691923342,1.4009857691923342
RGI60-08.00188,1463.7593721450733,0.3756220356422312,0.4212610882538863,0.8942966096353103,18.496,67.91,0.4762025931135465,0.4762025931135465,0.4762025931135465,1433.612310344845,1433.612310344845,1433.612310344845,0.3407895933921218,0.3407895933921218,0.3407895933921218,1.11428770944573,1.11428770944573,1.11428770944573
RGI60-08.00199,1583.5642340516608,0.6145605462272196,0.2986443640206974,0.472423541759529,18.686,68.081,0.5371152297738505,0.5371152297738505,0.5371152297738505,1517.9549007060236,1517.9549007060236,1517.9549007060236,0.4493322022947166,0.4493322022947166,0.4493322022947166,1.2916212482057905,1.2916212482057905,1.2916212482057905
RGI60-08.00213,1446.8733593622924,0.5177833129004191,0.452407328537534,0.965043836854498,18.569,67.903,0.5204290126957892,0.5204290126957892,0.5204290126957892,1401.456221105504,1401.456221105504,1401.456221105504,0.4429036164864882,0.4429036164864882,0.4429036164864882,1.264395428611942,1.264395428611942,1.264395428611942
RGI60-08.00312,1760.69537894174,0.5322117896902472,0.5336702775696046,1.3001121721284778,8.132,61.573,0.5688251252887162,0.5688251252887162,0.5688251252887162,1747.508903265113,1747.508903265113,1747.508903265113,0.510470917190426,0.510470917190426,0.510470917190426,1.5020422214327271,1.5020422214327271,1.5020422214327271
RGI60-08.00449,1886.583169172208,0.5335915701596272,0.5521968875676532,1.4020512612768057,8.441,61.556,0.5840784387468607,0.5840784387468607,0.5840784387468607,1877.4579261976828,1877.4579261976828,1877.4579261976828,0.5210444777484932,0.5210444777484932,0.5210444777484932,1.602487781679533,1.602487781679533,1.602487781679533
